ID,Latitude,Longitude,Block,Level,Parent,State,Details-23.64462466560574, -46.52839384444206
0,-23.64462466560574,-46.52839384444206,0,0,-1,VIC,DataCenter
1,-23.644377664595726,-46.52847436003197,1,1,0,VIC,Block1 Proxy (lab)
2,-23.644669620638357,-46.52981283380812,1,2,1,VIC,iFog West South
3,-23.643704885273095,-46.528831085695785,1,2,1,VIC,iFog West North
4,-23.644066313732345,-46.52697997628872,1,2,1,VIC,ifog East North
5,-23.645524989361295,-46.52757541767816,1,2,1,VIC,iFog East South
6,-23.645927589653038,-46.52878509003238,1,2,1,VIC,ifog extremo Sul
7,-23.6473778767248,-46.52577468346379,1,2,1,VIC,iFog Carrefour
8,-23.64457594901596, -46.52551103320937,1,2,1,VIC,iFog extremo Leste
9,-23.642327084556708,-46.53124538972501,1,2,1,VIC,ifog extremo oeste
10,-23.64242534549586,-46.52569419520197,1,2,1,VIC,ifog extremo norte